sample_index,source_progress,phase,phase_index,phase_progress,generator,mean,sd,seed_20260818,seed_20270818,seed_20280818
58,0.5833333333333334,Unlock label,2,0.3333333333333333,du,0.9668817952543224,0.0017531805658742904,0.9673849781040894,0.9683283638222944,0.9649320438365836
59,0.59375,Unlock label,2,0.375,du,0.9668726181005548,0.0013046907534533816,0.9674927255811752,0.967751605148656,0.9653735235718334
60,0.6041666666666666,Unlock label,2,0.4166666666666667,du,0.9668844904795804,0.0008178798506565915,0.9677478419257992,0.9667843199002378,0.966121309612704
61,0.6145833333333334,Unlock label,2,0.4583333333333333,du,0.9669356227886071,0.001073357924872779,0.9680704599081726,0.9659366885640689,0.9667997198935797
62,0.625,Unlock label,2,0.5,du,0.9670130350980314,0.0013551184058028902,0.9683245883887777,0.9656181935922467,0.96709632331307
63,0.6354166666666666,Unlock label,2,0.5416666666666666,du,0.9670897071470539,0.0012423030722024764,0.9684090388637329,0.9659423530796839,0.9669177294977448
64,0.6458333333333333,Unlock label,2,0.5833333333333334,du,0.967144039430957,0.0010251705988294575,0.968317343701983,0.9666933746933837,0.9664213998975042
65,0.65625,Unlock label,2,0.625,du,0.9671726783349307,0.0011372734661225462,0.9681380795407303,0.9674609455138659,0.9659190099501964
66,0.6666666666666666,Unlock label,2,0.6666666666666666,du,0.9671898882280449,0.001285450802943599,0.9680020729467224,0.9678597376672473,0.9657078540701647
67,0.6770833333333333,Unlock label,2,0.7083333333333334,du,0.9672150002805039,0.001131949177833992,0.968009894935372,0.9677161161433606,0.965918989762779
68,0.6875,Unlock label,2,0.75,du,0.967258313063368,0.0008670171517317956,0.968180114088731,0.9671356889075705,0.9664591361938022
69,0.6979166666666666,Unlock label,2,0.7916666666666666,du,0.9673152790404936,0.0010286777176926314,0.9684441947122436,0.9664309151224082,0.967070727286829
70,0.7083333333333333,Unlock label,2,0.8333333333333334,du,0.9673702905114347,0.0013695229627732233,0.9686869004853972,0.9659533704851153,0.9674706005637917
71,0.71875,Unlock label,2,0.875,du,0.9674051487371477,0.0014469213190217319,0.9688073261210634,0.9659172911836643,0.967490828906715
72,0.7291666666666666,Unlock label,2,0.9166666666666666,du,0.9674074457458879,0.0012523024628928769,0.9687677047551772,0.9663024244558401,0.9671522080266461
73,0.7395833333333333,Unlock label,2,0.9583333333333334,du,0.9673757922240722,0.0010728740396676632,0.9686068597024925,0.9668803141081151,0.9666402028616089
74,0.75,Unlock label,2,1.0,du,0.9673192042962532,0.0011070755774492407,0.9684150110966074,0.9673414078390328,0.9662011939531192
75,0.75,Insert,3,0.0,du,0.9673192042962532,0.0011070755774492407,0.9684150110966074,0.9673414078390328,0.9662011939531192
76,0.7604166666666666,Insert,3,0.041666666666666664,du,0.9672500105169402,0.0011494730603986616,0.968285764706394,0.9674509506874858,0.9660133161569407
77,0.7708333333333334,Insert,3,0.08333333333333333,du,0.9671743122623297,0.0010872618029228627,0.9682707672564304,0.9671556865614709,0.9660964829690882
78,0.78125,Insert,3,0.125,du,0.9670864928161503,0.0011116034181114837,0.9683589830065562,0.9665959827395519,0.9663045127023427
